id,name,group,group_en,category,category_en,recommendation,recommendation_en,description,description_en
pgx_cough_and_cold_preparations_codeine,codeine,Thuốc ho và cảm cúm,cough and cold preparations,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Đối với người mang kiểu hình này, không có thay đổi về hiệu suất chuyển đổi codein thành morphine.
Sử dụng liều theo tuổi và cân nặng như được khuyến cáo trên nhãn thuốc.","CPIC:
This phenotype is associated with the normal conversion of codein to the active metabolite morphine.
Use label recommended age- or weight-specific dosing.","Các con đường chính để chuyển hóa codeine xảy ra ở gan, mặc dù một số chuyển hóa xảy ra ở ruột và não. Từ 0 đến 15% codein bị O-demethyl hóa thành morphin, chất chuyển hóa hoạt tính mạnh nhất. Phản ứng chuyển hóa này được thực hiện bởi CYP2D6. Gen được nghiên cứu nhiều nhất liên quan đến di truyền dược lý của con đường codein là CYP2D6 (80% biến thể liên quan đến CYP2D6). Các biến thể CYP2D6 có thể được phân loại thành kiểu hình chuyển hóa kém, PM, (biến thể hoạt động thấp hoặc không), kiểu hình chuyển hóa bình thường NMs (biến thể hoạt động cao hoặc bình thường), kiểu hình chuyển hóa trung bình IM và kiểu hình chuyển hóa siêu nhanh UM (biến thể sao chép nhiều gen). CYP2D6 PMs không thể chuyển đổi codeine thành morphine một cách hiệu quả và do đó có thể không giảm đau, mặc dù điều này có thể khác nhau giữa các mô hình đau thực nghiệm và đau lâm sàng. UM có thể chuyển hóa codeine quá hiệu quả dẫn đến ngộ độc morphin","The principal pathways for metabolism of codeine occur in the liver, although some metabolism occurs in the intestine and brain. Between 0 and 15% of codeine is O-demethylated to morphine, the most active metabolite This metabolic reaction is performed by CYP2D6. The most well studied gene with respect to the pharmacogenetics of codein pathway is CYP2D6 (80% of variant annotations on codeine involve CYP2D6). CYP2D6 variants can be categorized into poor metabolizers, PMs, (low or zero activity variants), normal metabolizers NMs (high or normal activity variants, also called extensive metabolizers), intermediate metabolizers IMs and ultrarapid metabolizers UMs (multiple gene copy variants). CYP2D6 PMs are unable to convert codeine to morphine efficiently and as a consequence may not experience pain relief, although this may differ between experimental pain paradigms and clinical pain. UMs may metabolize codeine too efficiently leading to morphine intoxication."
pgx_cough_and_cold_preparations_dextromethorphan,dextromethorphan,Thuốc ho và cảm cúm,cough and cold preparations,SỬ DỤNG BÌNH THƯỜNG,Normal,Tuân thủ khuyến cáo điều trị tiêu chuẩn với tương tác kiểu hình-thuốc này.,Adhere to standard treatment recommendations with this type of drug interaction.,Thông tin này đang được cập nhật.,This information is being updated.
pgx_cough_and_cold_preparations_hydrocodone,hydrocodone,Thuốc ho và cảm cúm,cough and cold preparations,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Đối với người mang kiểu hình này, hiệu suất chuyển đổi hydrocodone thành chất chuyển hoá có hoạt tính - hydromorphone tăng lên.
Sử dụng liều theo tuổi và cân nặng như được khuyến cáo trên nhãn thuốc.","CPIC:
This phenotype is associated with the normal conversion of hydrocodone to its active metabolite, hydromorphone.
Use label recommended age- or weight-specific dosing.","CYP2D6 chuyển hydrocodone thành chất chuyển hoá có hoạt tính hydromorphone, tuy nhiên bản thân hydrocodone cũng có hoạt tính opioid. Mối quan hệ giữa nồng độ hydromorphone cũng như hydrocodone và tác dụng giảm đau vẫn chưa rõ ràng. Bằng chứng về ảnh hưởng của CYP2D6 đến dược động học của hydrocodone trên người mang kiểu hình chuyển hoá kém (PMs) đã được chứng minh. Ở người khoẻ mạnh khi dùng hydrocodone, nồng độ đỉnh (Cmax) hydromorphone trong huyết tương thấp hơn 5 lần so với người có kiểu hình chuyển hoá bình thường , tuy nhiên, chưa có đủ dữ liệu để chứng minh rằng sự thay đổi này làm giảm tác dụng giảm đau hoặc các biến cố bất lợi trên kiểu hình chuyển hoá kém.","CYP2D6 converts hydrocodone into the active metabolites hydromorphone, but hydrocodone also have clinical opioid activity. The relationship between plasma hydromorphone or hydrocodone concentration and analgesia is unclear. The evidence for the pharmacokinetic effects of CYP2D6 on hydrocodone in poor metabolizers (PMs) is established. In healthy individuals receiving hydrocodone, the mean plasma hydromorphone Cmax was five-fold lower in CYP2D6 poor metabolizers compared with normal metabolizers ; however, there are insufficient data on whether this translates into decreased analgesia or adverse events in poor metabolizers."
pgx_cough_and_cold_preparations_opium derivatives and expectorants,opium derivatives and expectorants,Thuốc ho và cảm cúm,cough and cold preparations,SỬ DỤNG BÌNH THƯỜNG,Normal,Tuân thủ khuyến cáo điều trị tiêu chuẩn với tương tác kiểu hình-thuốc này.,Adhere to standard treatment recommendations with this type of drug interaction.,Thông tin này đang được cập nhật.,This information is being updated.
pgx_antiinflamatory_and_antirheumatic_celecoxib,celecoxib,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","Sau khi uống, celecoxib được hấp thu nhanh chóng và đạt được nồng độ đỉnh trong huyết thanh trong khoảng 3 giờ. Nó được chuyển hóa nhiều ở gan và rất ít thuốc (<3%) được thải trừ dưới dạng không đổi. Các con đường bài tiết chính của celecoxib là phân và nước tiểu. Celecoxib được chuyển hóa chủ yếu thông qua quá trình hydroxyl hóa metyl để tạo thành hydroxycelecoxib. Phản ứng này phần lớn được xúc tác bởi CYP2C9, mặc dù CYP3A4 cũng đóng một vai trò thứ yếu (<25%). Tính đa hình trong CYP2C9 có thể có tác động trực tiếp đến dược động học của celecoxib và sự thay đổi trong đáp ứng thuốc. Kiểu hình chuyển hóa kém (ví dụ: người mang alen CYP2C9 * 3) tăng đáp ứng với celecoxib khi so sánh với kiểu hình chuyển hóa CYP2C9 bình thường. Do đó, các thuốc ức chế CYP2C9 nên được sử dụng thận trọng cho những bệnh nhân đang dùng celecoxib.","After oral administration, celecoxib is rapidly absorbed and achieves peak serum concentration in about 3 hours. It is extensively metabolized in the liver with very little drug (<3%) being eliminated unchanged. The major routes of excretion for celecoxib are feces and urine. Celecoxib is metabolized primarily through methyl hydroxylation to form hydroxycelecoxib. This reaction is largely catalyzed by CYP2C9, although CYP3A4 also plays a minor (<25%) role. polymorphisms in CYP2C9 are likely to have a direct impact on celecoxib pharmacokinetics and variability in drug responses. Individuals who are poor metabolizers of CYP2C9 substrates (eg. CYP2C9*3 allele carriers) have increased exposure to celecoxib when compared to those with normal CYP2C9 activity (see Pharmacogenomics section). Drugs that inhibit CYP2C9 should therefore be used with caution in patients taking celecoxib."
pgx_antiinflamatory_and_antirheumatic_flurbiprofen,flurbiprofen,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","Flurbiprofen được cho dưới dạng hỗn hợp raxemic nhưng chỉ đồng phân đối quang S được coi là có tác dụng. Flurbiprofen được chuyển hóa thành các chất chuyển hóa 4’hydroxy, dihydroxy và hydroxy methoxy. Các thí nghiệm in vitro ban đầu với các microsome gan người và các chất ức chế nhắm mục tiêu CYP cho thấy enzym chuyển hóa chính của flurbiprofen là CYP2C9 và cho thấy có sự tham gia nhỏ của CYP1A2. Các nghiên cứu sâu hơn với các protein biểu hiện cụ thể cho thấy enzyme xúc tác chính duy nhất tạo ra 4’-hydroxy flurbiprofen là CYP2C9. Hướng dẫn sử dụng CPIC cho Celecoxib, Flurbiprofen, Ibuprofen và Lornoxicam khuyên nên bắt đầu điều trị với 25-50% liều khởi đầu được khuyến nghị thấp nhất cho kiểu hình chuyển hóa kém của CYP2C9 và điều trị bắt đầu với liều lượng bắt đầu thấp nhất cho kiểu hình chuyển hóa trung bình CYP2C9. Giảm liều Đối với kiểu hình chuyển hóa kém CYP2C9 hoặc người mang * 3 cũng được đề trên nhãn FDA và trong bảng FDA của Hiệp hội dược phẩm vì nó có thể gây ra biến cố trên đường tiêu hóa","Flurbiprofen is given as a racemic mixture but only the S enantiomer is considered active. Flurbiprofen is metabolized to 4’hydroxy, dihydroxy and hydroxy methoxy metabolites. Initial in vitro experiments with human liver microsomes and CYP-targeted inhibitors showed the major metabolizing enzyme for flurbiprofen was CYP2C9 and suggested potential minor involvement of CYP1A2. Further studies with specific expressed proteins showed the only major enzyme catalyzing generation of 4’-hydroxy flurbiprofen is CYP2C9.The CPIC Dosing Guideline for celecoxib, flurbiprofen, ibuprofen and lornoxicam recommends initiating therapy with 25-50% of the lowest recommended starting dose for CYP2C9 poor metabolizers and initiating therapy with lowest recommended starting dose for CYP2C9 intermediate metabolizers. Dosage reduction for CYP2C9 poor metabolizers or *3 carriers is also discussed on the FDA label and in the FDA Table of Pharmacogenetic Association because it can cause GI event"
pgx_antiinflamatory_and_antirheumatic_ibuprofen,ibuprofen,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","Ibuprofen (IBU) được cho dưới dạng hỗn hợp raxemic của các chất đối quang R và S. Sự chuyển hóa chính của IBU là oxy hóa và liên quan đến các enzym cytochrom P450. Có sự khác biệt trong các con đường trao đổi chất được thực hiện bởi các chất đối quang khác nhau; sự chuyển hóa của S-IBU chủ yếu qua CYP2C9 trong khi R-IBU nhiều hơn qua CYP2C8. Trong một nghiên cứu, độ thanh thải IBU bị giảm ở những cá nhân bị mất alen chức năng của CYP2C9 và CYP2C8. Những người có CYP2C9 * 3 hoặc CYP2C8 * 3 có độ thanh thải IBU hỗn hợp racemic thấp hơn so với CYP2C9 * 1 và CYP2C8 * 1 và những người có cả CYP2C8 * 3 và CYP2C9 * 2 có độ thanh thải thấp hơn đáng kể. Một số nghiên cứu ở Pháp, Ý, Tây Ban Nha, người dùng NSAID bị chảy máu dạ dày tá tràng, có tần số cao hơn đáng kể của kiểu gen CYP2C9 * 1/* 2 và CYP2C9 * 1/* 3 khi so sánh đối chứng  .","Ibuprofen (IBU) is given as a racemic mixture of R and S enantiomers. The primary metabolism of IBU is oxidative and involves the cytochrome P450 enzymes. There are differences in metabolic routes taken by the different enantiomers; metabolism of S-IBU is predominantly via CYP2C9 whereas R-IBU is more via CYP2C8. In a study, clearance of IBU was reduced in individuals with loss of function alleles of CYP2C9 and CYP2C8. Those with either CYP2C9*3, or CYP2C8*3 had lower clearance of racemic mixed IBU than with CYP2C9*1 and CYP2C8*1 and those who had both CYP2C8*3 and CYP2C9*2 had significantly lower clearance .In some studies in France, Italy, Spain, NSAID users with gastroduodenal bleeding, there were significantly higher frequencies of CYP2C9*1/*2 and CYP2C9*1/*3 genotypes in cases versus controls."
pgx_antiinflamatory_and_antirheumatic_lornoxicam,lornoxicam,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","Lornoxicam có thời gian bán thải ngắn 3-4 giờ. Nó được chuyển hóa thành 5'-hydroxylornoxicam bởi CYP2C9. Hướng dẫn sử dụng CPIC cho Celecoxib, Flurbiprofen, Ibuprofen và Lornoxicam khuyên nên bắt đầu điều trị với 25-50% liều khởi đầu được khuyến nghị thấp nhất cho kiểu hình chuyển hóa kém của CYP2C9 và điều trị bắt đầu với liều lượng bắt đầu thấp nhất cho kiểu hình chuyển hóa trung bình CYP2C9. Giảm liều Đối với kiểu hình chuyển hóa kém CYP2C9 hoặc người mang * 3 cũng được đề trên nhãn FDA và trong bảng FDA của Hiệp hội dược phẩm vì nó có thể gây ra biến cố trên đường tiêu hóa","Lornoxicam has a short half life of 3-4 hours. It is exclusively metabolized to 5'-hydroxylornoxicam by CYP2C9. The CPIC Dosing Guideline for celecoxib, flurbiprofen, ibuprofen and lornoxicam recommends initiating therapy with 25-50% of the lowest recommended starting dose for CYP2C9 poor metabolizers and initiating therapy with lowest recommended starting dose for CYP2C9 intermediate metabolizers. Dosage reduction for CYP2C9 poor metabolizers or *3 carriers is also discussed on the FDA label and in the FDA Table of Pharmacogenetic Association because it can cause GI event"
pgx_antiinflamatory_and_antirheumatic_meloxicam,meloxicam,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.","5'-hydroxymeloxicam là một trong 4 chất chuyển hoá của meloxicam được tìm thấy trong nước tiểu, được tạo thành chủ yếu bởi CYP2C9. Đã có các bằng chứng chứng minh mối liên quan giữa kiểu gen CYP2C9 với sự thay đổi kiểu hình trong hoạt tính chuyển hoá của CYP2C9 và nồng độ các thuốc chống viêm không steroid (NSAIDs) trong huyết tương. Kiểu hình CYP2C9 chuyển hoá trung bình (IM) và chuyển hoá kém (PM) gây ảnh hưởng đến nồng độ NSAIDs trong huyết tương do làm giảm thanh thải qua chuyển hoá, dẫn đến kiếu dài thời gian bán thải của thuốc trong huyết tương.",5'-hydroxymeloxicam formed mostly by CYP2C9 is one of four metabolites of meloxicam found in urine. Substantial evidence links CYP2C9 genotypes with phenotypic variability in CYP2C9 metabolism and plasma Non-steroidal antiinflamatory drugs (NSAIDs) concentrations. CYP2C9 intermediate metabolizers (IMs) and poor metabolizers (PMs) phenotypes affect systemic plasma concentrations of NSAIDs by decreasing metabolic clearance and consequently prolonging plasma half-life.
pgx_antiinflamatory_and_antirheumatic_piroxicam,piroxicam,Thuốc chống viêm và giảm đau,antiinflamatory and antirheumatic,SỬ DỤNG BÌNH THƯỜNG,Normal,"CPIC:
Bắt đầu trị liệu với liều khởi đầu được khuyến cáo. Theo thông tin kê đơn, sử dụng liều thấp nhất mà đạt được hiệu quả trong thời gian ngắn nhất phù hợp với mục tiêu chữa trị của từng bệnh nhân.","CPIC:
Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.",Piroxicam là một loại thuốc chống viêm không steroid (NSAID). FDA đề nghị xem xét giảm liều ở kiểu hình chuyển hóa kém CYP2C9. Piroxicam chủ yếu được chuyển hóa thành chất chuyển hóa không hoạt tính 5’-hydroxypiroxicam qua CYP2C9. Hướng dẫn Liều lượng CPIC cho piroxicam khuyến cáo rằng những chất chuyển hóa kém CYP2C9 và những chất chuyển hóa trung gian nên chọn một liệu pháp thay thế không được chuyển hóa bởi CYP2C9 hoặc không bị ảnh hưởng đáng kể bởi các biến thể di truyền CYP2C9 in vivo hoặc chọn một NSAID được chuyển hóa bởi CYP2C9 nhưng có thời gian bán thải ngắn hơn.,Piroxicam is a non-steroidal anti-inflammatory drug (NSAID). The FDA label suggests consideration of dose reduction in CYP2C9 poor metabolizers. Piroxicam is primarily metabolized to an inactive metabolite 5’-hydroxypiroxicam via CYP2C9. The CPIC Dosing Guideline for piroxicam recommends that CYP2C9 poor metabolizers and intermediate metabolizers should choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life.
